Identifier;Competency Question / Natural language sentence (fact);Answer (For Competency Questions);"Status (Proposed, Accepted, Rejected, Deprecated)";Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements
FR14;The ontology shall represent Skill entities from the extended dataset.;;Proposed;Cyber Sleuth introduces additional skill structures.;Skills.csv;;Class: Skill
FR15;The ontology shall represent the relationship between Digimon and the Skills they can learn.;;Proposed;Required for modeling skill acquisition.;Skills by Digimon.csv;FR14;ObjectProperty: learnsSkill
FR16;The ontology shall represent Digivolution as an entity describing the evolutionary process.;;Proposed;Professional modeling requires intermediate entity.;Digivolutions.csv;;Class: Digivolution
FR17;The ontology shall represent the source Digimon involved in a Digivolution.;;Proposed;Required to model evolution chains.;Digivolutions.csv;FR16;ObjectProperty: hasSourceDigimon
FR18;The ontology shall represent the target Digimon resulting from a Digivolution.;;Proposed;Required to model evolution outcomes.;Digivolutions.csv;FR16;ObjectProperty: hasTargetDigimon
FR19;The ontology shall represent Digivolution requirements associated with each Digivolution.;;Proposed;Evolution depends on constraints.;Digivolution Requirements.csv;FR16;Class: DigivolutionRequirement | ObjectProperty: hasRequirement
FR20;The ontology shall represent numerical or conditional constraints required for Digivolution processes.;;Proposed;Allows modeling level-based and stat-based requirements.;Digivolution Requirements.csv;FR19;DatatypeProperty: hasMinLevel | DatatypeProperty: hasMinHP | DatatypeProperty: hasMinSP | DatatypeProperty: hasMinAttack | DatatypeProperty: hasMinDefense | DatatypeProperty: hasMinIntelligence | DatatypeProperty: hasMinSpeed
FR21;The ontology shall allow querying complete evolution chains between Digimon.;;Proposed;Enables reasoning over multi-step evolution paths.;Derived from Digivolutions.csv;"FR16; FR17; FR18";ObjectProperty: digivolvesTo (transitive)
FR22;The ontology shall allow retrieving all Skills associated with a given Digimon.;;Proposed;Supports gameplay analysis queries.;Skills by Digimon.csv;FR15;ObjectProperty: learnsSkill
FR23;"The ontology shall allow identifying; grouping and comparing Digimon that share common types; attributes; skills or support skills; enabling more complex queries required in the battle team planning use case.";;Proposed;"Expanded to include relevant dataset aspects that were not sufficiently reflected before; especially skills and support skills.";"DigiDB_digimonlist.csv (Type; Attribute) | Skills by Digimon.csv | DigiDB_supportlist.csv";"Related to FR3; FR4; FR12; FR14; FR15; FR22 and Use Case 1.";ObjectProperty: hasType | ObjectProperty: hasAttribute | ObjectProperty: learnsSkill | ObjectProperty: hasSupportSkill
FR24;"The ontology shall allow combining statistical values; skills; support skills and digivolution requirements in queries to support complex reasoning tasks across battle planning and digivolution analysis use cases.";;Proposed;Expanded to include additional relevant dataset aspects and to make its role in reasoning tasks more explicit.;Combined DigiDB and Cyber Sleuth datasets;"Related to FR7; FR12; FR19; FR20; FR23; FR25 and both use cases.";Class: Digimon | Class: Skill | Class: SupportSkill | Class: DigivolutionRequirement | DatatypeProperty: hasHP | DatatypeProperty: hasSP | DatatypeProperty: hasAttack | DatatypeProperty: hasDefense | DatatypeProperty: hasIntelligence | DatatypeProperty: hasSpeed | ObjectProperty: learnsSkill | ObjectProperty: hasSupportSkill | ObjectProperty: hasRequirement
FR25;"The ontology shall support the integration of multiple datasets within the Digimon domain; allowing unified access to Digimon; moves; skills; support skills; digivolutions and digivolution requirements.";;Proposed;Expanded to better justify dataset extension and interoperability needs in the final assignment.;All datasets used;Related to FR8-FR24 and both use cases.;Class: Digimon | Class: Move | Class: Skill | Class: SupportSkill | Class: Digivolution | Class: DigivolutionRequirement | ObjectProperty: usesMove | ObjectProperty: learnsSkill | ObjectProperty: hasSupportSkill | ObjectProperty: digivolvesTo | ObjectProperty: hasRequirement
FR26;"The ontology shall represent the type of each Move as a separate classification; allowing queries and comparisons between Digimon characteristics and move characteristics in battle scenarios.";;Proposed;Added to generate an additional class and relation from an existing dataset field and to improve the exploitation of the move dataset.;DigiDB_movelist.csv (Type);"Related to FR8; FR9; FR10 and Use Case 1.";Class: MoveType | ObjectProperty: hasMoveType
FR27;"The ontology shall represent the relationship between Digimon and their support skills to support team composition; comparison and ability-based queries.";;Proposed;Added to better reflect the relevance of support skill information in the ontology and in the use cases.;DigiDB_supportlist.csv | DigiDB_digimonlist.csv;"Related to FR12; FR23 and Use Case 1.";ObjectProperty: hasSupportSkill
FR28;"The ontology shall support queries that combine information from DigiDB and the additional Digimon datasets to reason jointly over Digimon stats; moves; skills; support skills and digivolution chains.";;Proposed;Added to make cross-dataset integration explicit and align the requirements with the extended data sources used in the project.;DigiDB_digimonlist.csv | DigiDB_movelist.csv | DigiDB_supportlist.csv | Skills.csv | Skills by Digimon.csv | Digivolutions.csv | Digivolution Requirements.csv;"Related to FR7; FR12; FR14; FR19; FR23; FR24; FR25 and both use cases.";Class: Digimon | Class: Move | Class: Skill | Class: SupportSkill | Class: Digivolution | Class: DigivolutionRequirement | DatatypeProperty: hasHP | DatatypeProperty: hasSP | DatatypeProperty: hasAttack | DatatypeProperty: hasDefense | DatatypeProperty: hasIntelligence | DatatypeProperty: hasSpeed | ObjectProperty: usesMove | ObjectProperty: learnsSkill | ObjectProperty: hasSupportSkill | ObjectProperty: digivolvesTo | ObjectProperty: hasRequirement
